Date|State|Office|District|Candidate|Party|Votes
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|34|Jessica Puente Bradshaw|Republican|52448
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|34|Filemon Vela|Democrat|89606
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|34|Steven "Ziggy" Shanklin|Libertarian|2724
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|35|Susan Narvaiz|Republican|52894
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|35|Lloyd Doggett|Democrat|105626
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|35|Ross Lynn Leone|Libertarian|4082
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|35|Meghan Owen|Green|2540
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|35|Simon Alvarado|Write-in|37
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|36|Steve Stockman|Republican|165405
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|36|Max Martin|Democrat|62143
11/6/2012|TEXAS|FOR UNITED STATES REPRESENTATIVE|36|Michael K. Cole|Libertarian|6284
11/6/2012|UTAH|FOR PRESIDENTIAL ELECTORS|||Republican|740600
11/6/2012|UTAH|FOR PRESIDENTIAL ELECTORS|||Democratic|251813
11/6/2012|UTAH|FOR PRESIDENTIAL ELECTORS|||Unaffiliated|393
11/6/2012|UTAH|FOR PRESIDENTIAL ELECTORS|||Constitution|2871
11/6/2012|UTAH|FOR PRESIDENTIAL ELECTORS|||Libertarian|12572
11/6/2012|UTAH|FOR PRESIDENTIAL ELECTORS|||Utah Justice Party|5335
11/6/2012|UTAH|FOR PRESIDENTIAL ELECTORS|||Green|3817
11/6/2012|UTAH|FOR PRESIDENTIAL ELECTORS|||Write-in|39
11/6/2012|UTAH|FOR UNITED STATES SENATOR||Orrin G. Hatch|Republican|657608
11/6/2012|UTAH|FOR UNITED STATES SENATOR||Scott Howell|Democrat|301873
11/6/2012|UTAH|FOR UNITED STATES SENATOR||Bill Barron|Unaffiliated|7172
11/6/2012|UTAH|FOR UNITED STATES SENATOR||Shaun Lynn McCausland|Constitution|31905
11/6/2012|UTAH|FOR UNITED STATES SENATOR||Daniel Geery|Utah Justice Party|8342
11/6/2012|UTAH|FOR UNITED STATES SENATOR||JoAnn Secrist|Write-in|1
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|1|Rob Bishop|Republican|175487
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|1|Donna M. McAleer|Democrat|60611
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|1|Sherry Phipps|Constitution|9430
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|2|Chris Stewart|Republican|154523
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|2|Jay Seegmiller|Democrat|83176
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|2|Joseph Andrade|Unaffiliated|2971
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|2|Charles E. Kimball|Unaffiliated|2824
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|2|Jonathan D. Garrard|Constitution|5051
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|3|Jason Chaffetz|Republican|198828
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|3|Soren D. Simonsen|Democrat|60719
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|4|Mia B. Love|Republican|119035
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|4|Jim Matheson|Democrat|119803
11/6/2012|UTAH|FOR UNITED STATES REPRESENTATIVE|4|Jim L. Vein|Libertarian|6439
11/6/2012|VERMONT|FOR PRESIDENTIAL ELECTORS|||Republican|92698
11/6/2012|VERMONT|FOR PRESIDENTIAL ELECTORS|||Democratic|199239
11/6/2012|VERMONT|FOR PRESIDENTIAL ELECTORS|||Libertarian|3487
11/6/2012|VERMONT|FOR PRESIDENTIAL ELECTORS|||Justice|1128
11/6/2012|VERMONT|FOR PRESIDENTIAL ELECTORS|||Socialism and Liberation|695
11/6/2012|VERMONT|FOR PRESIDENTIAL ELECTORS|||Write-in|2043
11/6/2012|VERMONT|FOR UNITED STATES SENATOR||John MacGovern|Republican|72898
11/6/2012|VERMONT|FOR UNITED STATES SENATOR||Bernard Sanders|Independent|207848
11/6/2012|VERMONT|FOR UNITED STATES SENATOR||Pete Diamondstone|Liberty Union|2511
11/6/2012|VERMONT|FOR UNITED STATES SENATOR||Chris Ericson|United States Marijuana|5924
11/6/2012|VERMONT|FOR UNITED STATES SENATOR||Peter Moss|Peace and Prosperity|2452
11/6/2012|VERMONT|FOR UNITED STATES SENATOR||Laurel Laframboise|VoteKISS|877
11/6/2012|VERMONT|FOR UNITED STATES SENATOR||Write-in||252
11/6/2012|VERMONT|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Mark Donka|Republican|67543
11/6/2012|VERMONT|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Peter Welch|Democrat|208600
11/6/2012|VERMONT|FOR UNITED STATES REPRESENTATIVE|AT LARGE|James "Sam" Desrochers|Independent|8302
11/6/2012|VERMONT|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Jane Newton|Liberty Union|4065
11/6/2012|VERMONT|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Andre Laframboise|VoteKISS|1153
11/6/2012|VERMONT|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Write-in||268
11/6/2012|VIRGINIA|FOR PRESIDENTIAL ELECTORS|||Republican|1822522
11/6/2012|VIRGINIA|FOR PRESIDENTIAL ELECTORS|||Democratic|1971820
11/6/2012|VIRGINIA|FOR PRESIDENTIAL ELECTORS|||Libertarian|31216
11/6/2012|VIRGINIA|FOR PRESIDENTIAL ELECTORS|||Constitution|13058
11/6/2012|VIRGINIA|FOR PRESIDENTIAL ELECTORS|||Green|8627
11/6/2012|VIRGINIA|FOR PRESIDENTIAL ELECTORS|||Write-in|7246
11/6/2012|VIRGINIA|FOR UNITED STATES SENATOR||George F. Allen|Republican|1785542
11/6/2012|VIRGINIA|FOR UNITED STATES SENATOR||Timothy M. Kaine|Democrat|2010067
11/6/2012|VIRGINIA|FOR UNITED STATES SENATOR||Write-in||6587
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|1|Robert J. Wittman|Republican|200845
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|1|Adam M. Cook|Democrat|147036
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|1|G. Gail Parker|Independent Green|8308
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|1|Write-in||617
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|2|E. Scott Rigell|Republican|166231
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|2|Paul O. Hirschbiel, Jr.|Democrat|142548
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|2|Write-in||443
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|3|Dean J. Longo|Republican|58931
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|3|Robert C. "Bobby" Scott|Democrat|259199
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|3|Write-in||806
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|4|J. Randy Forbes|Republican|199292
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|4|Ella P. Ward|Democrat|150190
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|4|Write-in||564
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|5|Robert Hurt|Republican|193009
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|5|John Wade Douglass|Democrat|149214
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|5|Kenneth J. Hildebrandt|Independent Green|5500
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|5|Write-in||388
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|6|Bob Goodlatte|Republican|211278
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|6|Andy B. Schmookler|Democrat|111949
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|6|Write-in||666
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|7|Eric Cantor|Republican|222983
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|7|E. Wayne Powell|Democrat|158012
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|7|Write-in||914
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|8|J. Patrick Murray|Republican|107370
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|8|James P. Moran|Democrat|226847
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|8|Jason J. Howell|Independent|10180
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|8|Janet Murphy|Independent Green|5985
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|8|Write-in||805
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|9|H. Morgan Griffith|Republican|184882
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|9|Anthony J. Flaccavento|Democrat|116400
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|9|Write-in||376
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|10|Frank R. Wolf|Republican|214038
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|10|Kristin A. Cabral|Democrat|142024
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|10|J. Kevin Chisholm|Independent|9855
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|10|Write-in||527
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|11|Chris S. Perkins|Republican|117902
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|11|Gerald E. Connolly|Democrat|202606
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|11|Mark T. Gibson|Independent|3806
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|11|Christopher F. DeCarlo|Independent|3027
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|11|Peter M. Marchetti|Independent Green|1919
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|11|Joe F. Galdo, Jr.|Green|2195
11/6/2012|VIRGINIA|FOR UNITED STATES REPRESENTATIVE|11|Write-in||788
11/6/2012|WASHINGTON|FOR PRESIDENTIAL ELECTORS|||Republican|1290670
11/6/2012|WASHINGTON|FOR PRESIDENTIAL ELECTORS|||Democratic|1755396
11/6/2012|WASHINGTON|FOR PRESIDENTIAL ELECTORS|||Libertarian|42202
11/6/2012|WASHINGTON|FOR PRESIDENTIAL ELECTORS|||Green|20928
11/6/2012|WASHINGTON|FOR PRESIDENTIAL ELECTORS|||Constitution|8851
11/6/2012|WASHINGTON|FOR PRESIDENTIAL ELECTORS|||Justice|4946
11/6/2012|WASHINGTON|FOR PRESIDENTIAL ELECTORS|||Socialism and Liberation|1318
11/6/2012|WASHINGTON|FOR PRESIDENTIAL ELECTORS|||Socialist Workers|1205
11/6/2012|WASHINGTON|FOR UNITED STATES SENATOR||Michael Baumgartner|Republican|1213924
11/6/2012|WASHINGTON|FOR UNITED STATES SENATOR||Maria Cantwell|Democrat|1855493
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|1|John Koster|Republican|151187
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|1|Suzan DelBene|Democrat|177025
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|2|Dan Matthews|Republican|117465
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|2|Rick Larsen|Democrat|184826
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|3|Jaime Herrera Beutler|Republican|177446
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|3|Jon T. Haugen|Democrat|116438
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|4|Doc Hastings|Republican|154749
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|4|Mary Baechler|Democrat|78940
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|5|Cathy McMorris Rodgers|Republican|191066
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|5|Rich Cowan|Democrat|117512
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|6|Bill Driscoll|Republican|129725
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|6|Derek Kilmer|Democrat|186661
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|7|Ron Bemis|Republican|76212
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|7|Jim McDermott|Democrat|298368
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|8|David G. Reichert|Republican|180204
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|8|Karen Porterfield|Democrat|121886
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|9|Jim Postma|Republican|76105
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|9|Adam Smith|Democrat|192034
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|10|Richard "Dick" Muri|Republican|115381
11/6/2012|WASHINGTON|FOR UNITED STATES REPRESENTATIVE|10|Denny Heck|Democrat|163036
11/6/2012|WEST VIRGINIA|FOR PRESIDENTIAL ELECTORS|||Republican|417655
11/6/2012|WEST VIRGINIA|FOR PRESIDENTIAL ELECTORS|||Democratic|238269
11/6/2012|WEST VIRGINIA|FOR PRESIDENTIAL ELECTORS|||Mountain Party (Green Party Candidate)|4406
11/6/2012|WEST VIRGINIA|FOR PRESIDENTIAL ELECTORS|||Libertarian|6302
11/6/2012|WEST VIRGINIA|FOR PRESIDENTIAL ELECTORS|||No Affiliation|3806
11/6/2012|WEST VIRGINIA|FOR UNITED STATES SENATOR||John R. Raese|Republican|240787
11/6/2012|WEST VIRGINIA|FOR UNITED STATES SENATOR||Joe Manchin III|Democrat|399898
11/6/2012|WEST VIRGINIA|FOR UNITED STATES SENATOR||Bob Henry Baber|Mountain Party|19517
11/6/2012|WEST VIRGINIA|FOR UNITED STATES REPRESENTATIVE|1|David B. McKinley|Republican|133809
11/6/2012|WEST VIRGINIA|FOR UNITED STATES REPRESENTATIVE|1|Sue Thorn|Democrat|80342
11/6/2012|WEST VIRGINIA|FOR UNITED STATES REPRESENTATIVE|2|Shelley Moore Capito|Republican|158206
11/6/2012|WEST VIRGINIA|FOR UNITED STATES REPRESENTATIVE|2|Howard Swint|Democrat|68560
11/6/2012|WEST VIRGINIA|FOR UNITED STATES REPRESENTATIVE|3|Rick Snuffer|Republican|92238
11/6/2012|WEST VIRGINIA|FOR UNITED STATES REPRESENTATIVE|3|Nick J. Rahall II|Democrat|108199
11/6/2012|WISCONSIN|FOR PRESIDENTIAL ELECTORS|||Republican|1410966
11/6/2012|WISCONSIN|FOR PRESIDENTIAL ELECTORS|||Democratic|1620985
11/6/2012|WISCONSIN|FOR PRESIDENTIAL ELECTORS|||Independent|29383
11/6/2012|WISCONSIN|FOR PRESIDENTIAL ELECTORS|||Constitution|4930
11/6/2012|WISCONSIN|FOR PRESIDENTIAL ELECTORS|||Scattering|5170
11/6/2012|WISCONSIN|FOR UNITED STATES SENATOR||Tommy G. Thompson|Republican|1380126
11/6/2012|WISCONSIN|FOR UNITED STATES SENATOR||Tammy Baldwin|Democrat|1547104
11/6/2012|WISCONSIN|FOR UNITED STATES SENATOR||Joseph Kexel|Libertarian|62240
11/6/2012|WISCONSIN|FOR UNITED STATES SENATOR||Nimrod Y. U. Allen III|I.D.E.A.|16455
11/6/2012|WISCONSIN|FOR UNITED STATES SENATOR||Riley J. Hood|Write-in (Constitution)|70
11/6/2012|WISCONSIN|FOR UNITED STATES SENATOR||Diane E. Lorbiecki|Write-in (Independent)|43
11/6/2012|WISCONSIN|FOR UNITED STATES SENATOR||Scattering||3373
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|1|Paul Ryan|Republican|200423
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|1|Rob Zerban|Democrat|158414
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|1|Keith Deschler|Libertarian|6054
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|1|Scattering||167
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|2|Chad Lee|Republican|124683
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|2|Mark Pocan|Democrat|265422
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|2|Joe Kopsick|Write-in (Independent)|6
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|2|Scattering||787
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|3|Ray Boland|Republican|121713
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|3|Ron Kind|Democrat|217712
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|3|Scattering||339
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|4|Dan Sebring|Republican|80787
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|4|Gwen Moore|Democrat|235257
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|4|Robert R. Raymond|Independent|9277
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|4|Scattering||467
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|5|F. James Sensenbrenner, Jr.|Republican|250335
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|5|Dave Heaster|Democrat|118478
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|5|Scattering||851
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|6|Thomas E. Petri|Republican|223460
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|6|Joe Kallas|Democrat|135921
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|6|Scattering||364
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|7|Sean P. Duffy|Republican|201720
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|7|Pat Kreitlow|Democrat|157524
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|7|Dale C. Lehner|Write-in (Independent)|20
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|7|Scattering||405
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|8|Reid J. Ribble|Republican|198874
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|8|Jamie Wall|Democrat|156287
11/6/2012|WISCONSIN|FOR UNITED STATES REPRESENTATIVE|8|Scattering||303
11/6/2012|WYOMING|FOR PRESIDENTIAL ELECTORS|||Republican|170962
11/6/2012|WYOMING|FOR PRESIDENTIAL ELECTORS|||Democratic|69286
11/6/2012|WYOMING|FOR PRESIDENTIAL ELECTORS|||Libertarian|5326
11/6/2012|WYOMING|FOR PRESIDENTIAL ELECTORS|||Constitution|1452
11/6/2012|WYOMING|FOR PRESIDENTIAL ELECTORS|||Over Votes|273
11/6/2012|WYOMING|FOR PRESIDENTIAL ELECTORS|||Under Votes|1367
11/6/2012|WYOMING|FOR PRESIDENTIAL ELECTORS|||Write-in|2035
11/6/2012|WYOMING|FOR UNITED STATES SENATOR||John Barrasso|Republican|185250
11/6/2012|WYOMING|FOR UNITED STATES SENATOR||Tim Chesnut|Democrat|53019
11/6/2012|WYOMING|FOR UNITED STATES SENATOR||Joel Otto|Country Party|6176
11/6/2012|WYOMING|FOR UNITED STATES SENATOR||Over Votes||91
11/6/2012|WYOMING|FOR UNITED STATES SENATOR||Under Votes||5747
11/6/2012|WYOMING|FOR UNITED STATES SENATOR||Write-in||417
11/6/2012|WYOMING|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Cynthia M. Lummis|Republican|166452
11/6/2012|WYOMING|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Chris Henrichsen|Democrat|57573
11/6/2012|WYOMING|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Richard P. Brubaker|Libertarian|8442
11/6/2012|WYOMING|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Don Wills|Country Party|3775
11/6/2012|WYOMING|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Daniel Clyde Cummings|Constitution|4963
11/6/2012|WYOMING|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Over Votes||600
11/6/2012|WYOMING|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Under Votes||8479
11/6/2012|WYOMING|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Write-in||416
11/6/2012|PUERTO RICO|FOR RESIDENT COMMISSIONER||Pedro R. Pierluisi|Democrat|905066
11/6/2012|PUERTO RICO|FOR RESIDENT COMMISSIONER||Roberto Cox Alomar|Popular Democratic Party|881181
11/6/2012|PUERTO RICO|FOR RESIDENT COMMISSIONER||Juan Manuel Mercado Nieves|Puerto Rican Independence Party|38941
11/6/2012|PUERTO RICO|FOR RESIDENT COMMISSIONER||Félix Córdova Iturregui|Working People’s Party|13120
11/6/2012|PUERTO RICO|FOR RESIDENT COMMISSIONER||María de Lourdes Guzmán|Sovereign Union Movement|11764
11/6/2012|PUERTO RICO|FOR RESIDENT COMMISSIONER||Sadiasept Guillont|Puerto Ricans for Puerto Rico|5647
11/6/2012|PUERTO RICO|FOR RESIDENT COMMISSIONER||Other||12761
11/6/2012|AMERICAN SAMOA|FOR DELEGATE||Eni F. H. Faleomavaega|Democrat|7221
11/6/2012|AMERICAN SAMOA|FOR DELEGATE||Kereti Mata’utia, Jr.|Democrat|438
11/6/2012|AMERICAN SAMOA|FOR DELEGATE||Rosie F. Tago Lancaster|Independent|697
11/6/2012|AMERICAN SAMOA|FOR DELEGATE||Aumua Amata|Conservative|4420
11/6/2012|AMERICAN SAMOA|FOR DELEGATE||Fatumalala Leulua’iali’i A. Al-Sheri|No Party Affiliate|300
11/6/2012|DISTRICT OF COLUMBIA|FOR PRESIDENTIAL ELECTORS|||Republican|21381
11/6/2012|DISTRICT OF COLUMBIA|FOR PRESIDENTIAL ELECTORS|||Democratic|267070
11/6/2012|DISTRICT OF COLUMBIA|FOR PRESIDENTIAL ELECTORS|||Libertarian|2083
11/6/2012|DISTRICT OF COLUMBIA|FOR PRESIDENTIAL ELECTORS|||D.C. Statehood Green|2458
11/6/2012|DISTRICT OF COLUMBIA|FOR PRESIDENTIAL ELECTORS|||Write-in|772
11/6/2012|DISTRICT OF COLUMBIA|FOR DELEGATE||Eleanor Holmes Norton|Democrat|246664
11/6/2012|DISTRICT OF COLUMBIA|FOR DELEGATE||Bruce Majors|Libertarian|16524
11/6/2012|DISTRICT OF COLUMBIA|FOR DELEGATE||Natale Lino Stracuzzi|D.C. Statehood Green|13243
11/6/2012|DISTRICT OF COLUMBIA|FOR DELEGATE||Write-in||2132
11/6/2012|GUAM|FOR DELEGATE||Frank Flores Blas, Jr.|Republican|12995
11/6/2012|GUAM|FOR DELEGATE||Madeleine Z. Bordallo|Democrat|19765
11/6/2012|GUAM|FOR DELEGATE||Write-in||246
11/6/2012|NORTHERN MARIANA ISLANDS|FOR DELEGATE||Ignacia Tudela Demapan|Republican|2503
11/6/2012|NORTHERN MARIANA ISLANDS|FOR DELEGATE||Gregorio Kilili Camacho Sablan|Democrat|9829
11/6/2012|VIRGIN ISLANDS|FOR DELEGATE||Holland Redfield|Republican|2131
11/6/2012|VIRGIN ISLANDS|FOR DELEGATE||Donna M. Christensen|Democrat|11512
11/6/2012|VIRGIN ISLANDS|FOR DELEGATE||Warren B. Mosler|No Party|3276
11/6/2012|VIRGIN ISLANDS|FOR DELEGATE||Norma Pickard-Samuel|No Party|1927
11/6/2012|VIRGIN ISLANDS|FOR DELEGATE||Guillaume Mimoun|No Party|312
11/6/2012|VIRGIN ISLANDS|FOR DELEGATE||||12
