date|state|office|district|candidate|party|votes
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|10|Jeff Denham|Republican|124671
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|10|Michael Eggman|Democrat|116470
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|11|Roger Allen Petersen|Republican|83341
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|11|Mark DeSaulnier|Democrat|214868
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|12|Nancy Pelosi|Democrat|274035
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|12|Preston Picus|No Party Preference|64810
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|13|Sue Caro|Republican|29754
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|13|Barbara Lee|Democrat|293117
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|14|Angel Cardenas|Republican|54817
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|14|Jackie Speier|Democrat|231630
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|15|Danny R. Turner|Republican|70619
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|15|Eric Swalwell|Democrat|198578
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|16|Johnny M. Tacherra|Republican|70483
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|16|Jim Costa|Democrat|97473
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Ro Khanna|Democrat|142268
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Michael M. Honda|Democrat|90924
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|18|Richard B. Fox|Republican|93470
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|18|Anna G. Eshoo|Democrat|230460
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|19|G. Burt Lancaster|Republican|64061
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|19|Zoe Lofgren|Democrat|181802
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|20|Casey Lucius|Republican|74811
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|20|Jimmy Panetta|Democrat|180980
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|21|David G. Valadao|Republican|75126
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|21|Emilio Huerta|Democrat|57282
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|22|Devin Nunes|Republican|158755
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|22|Louie J. Campos|Democrat|76211
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|23|Kevin McCarthy|Republican|167116
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|23|Wendy Reed|Democrat|74468
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|24|Justin Donald Fareed|Republican|144780
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|24|Salud Carbajal|Democrat|166034
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|25|Stephen Knight|Republican|138755
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|25|Bryan Caforio|Democrat|122406
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|26|Rafael A. Dagnesses|Republican|111059
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|26|Julia Brownley|Democrat|169248
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|27|Jack Orswell|Republican|81655
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|27|Judy Chu|Democrat|168977
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|28|Lenore Solis|Republican|59526
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|28|Adam B. Schiff|Democrat|210883
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|29|Tony Cárdenas|Democrat|128407
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|29|Richard Alarcon|Democrat|43417
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|30|Mark Reed|Republican|77325
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|30|Brad Sherman|Democrat|205279
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|31|Paul Chabot|Republican|94866
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|31|Pete Aguilar|Democrat|121070
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|32|Grace F. Napolitano|Democrat|114926
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|32|Roger Hernández|Democrat|71720
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|33|Kenneth W. Wright|Republican|110822
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|33|Ted Lieu|Democrat|219397
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|34|Xavier Becerra|Democrat|122842
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|34|Adrienne Nicole Edwards|Democrat|36314
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|35|Tyler Fischella|Republican|47309
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|35|Norma J. Torres|Democrat|124044
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|36|Jeff Stone|Republican|88269
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|36|Raul Ruiz|Democrat|144348
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|37|Karen Bass|Democrat|192490
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|37|Chris Blake Wiggins|Democrat|44782
11/08/2016|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|38|Ryan Downing|Republican|68524
